id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;id_braku_wartosci;oznaczenie_braku_wartosci;nazwa_braku_wartosci;id_tajnosci;oznaczenie_tajnosci;nazwa_tajnosci;id_flaga;oznaczenie_flagi;nazwa_flaga;notka
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;257;2020;2020 M11;23,71;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;257;2020;2020 M11;3,92;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;257;2020;2020 M11;0,25;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946297;tkanina sukienkowa za 1 m;;;;;;;;;;;;;;;;;;;;;;;;;258;2020;2020 M12;32,36;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946305;energia elektryczna dla gospodarstw domowych (taryfa G-11) za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;258;2020;2020 M12;0,67;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;258;2020;2020 M12;23,79;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;258;2020;2020 M12;3,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;258;2020;2020 M12;0,25;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946297;tkanina sukienkowa za 1 m;;;;;;;;;;;;;;;;;;;;;;;;;247;2021;2021 M01;32,37;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946305;energia elektryczna dla gospodarstw domowych (taryfa G-11) za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;247;2021;2021 M01;0,74;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;247;2021;2021 M01;23,89;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;247;2021;2021 M01;3,95;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;247;2021;2021 M01;0,25;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946297;tkanina sukienkowa za 1 m;;;;;;;;;;;;;;;;;;;;;;;;;248;2021;2021 M02;32,41;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946305;energia elektryczna dla gospodarstw domowych (taryfa G-11) za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;248;2021;2021 M02;0,74;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;248;2021;2021 M02;23,95;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;248;2021;2021 M02;3,96;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;248;2021;2021 M02;0,25;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946297;tkanina sukienkowa za 1 m;;;;;;;;;;;;;;;;;;;;;;;;;249;2021;2021 M03;32,44;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946305;energia elektryczna dla gospodarstw domowych (taryfa G-11) za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;249;2021;2021 M03;0,74;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;249;2021;2021 M03;23,95;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;249;2021;2021 M03;3,94;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;249;2021;2021 M03;0,25;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946297;tkanina sukienkowa za 1 m;;;;;;;;;;;;;;;;;;;;;;;;;250;2021;2021 M04;32,54;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946305;energia elektryczna dla gospodarstw domowych (taryfa G-11) za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;250;2021;2021 M04;0,74;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;250;2021;2021 M04;23,87;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;250;2021;2021 M04;3,96;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;250;2021;2021 M04;0,25;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946297;tkanina sukienkowa za 1 m;;;;;;;;;;;;;;;;;;;;;;;;;251;2021;2021 M05;32,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946305;energia elektryczna dla gospodarstw domowych (taryfa G-11) za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;251;2021;2021 M05;0,74;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946307;ciepła woda za 1 m3;;;;;;;;;;;;;;;;;;;;;;;;;251;2021;2021 M05;23,94;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;5946309;centralne ogrzewanie lokali mieszkalnych za 1 m2 p u;;;;;;;;;;;;;;;;;;;;;;;;;251;2021;2021 M05;3,93;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
302;Ceny detaliczne towarów nieżywnościowych i usług konsumpcyjnych;750;"Polska; Towary nieżywnościowe i usługi konsumpcyjne";33617;POLSKA;180;[zł];;;;;567;Towary nieżywnościowe i usługi konsumpcyjne;7174400;Gaz ziemny wysokometanowy z sieci dla gospodarstw domowych (taryfa W-1.1) – za 1 kWh;;;;;;;;;;;;;;;;;;;;;;;;;251;2021;2021 M05;0,26;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
